millis,batt,temp,A2,A3,maxWriteTime,minFifoFree,maxFifoUsed,maxOverruns,gpsOnFlag,unusedStack1,unusedStackIdle,index,t
10298945.0,3.76,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,312723.0,1603216143.25
10299947.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,312824.0,1603216144.25
10300946.0,3.76,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,312925.0,1603216145.25
10301945.0,3.76,12.4,0.621,0.403,14.0,73.0,2.0,0.0,0.0,56.0,51.0,313026.0,1603216146.25
10302945.0,3.76,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,313127.0,1603216147.25
10303946.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,313228.0,1603216148.25
10304946.0,3.75,12.4,0.621,0.403,15.0,74.0,1.0,0.0,0.0,56.0,51.0,313329.0,1603216149.25
10305945.0,3.75,12.4,0.621,0.403,12.0,74.0,1.0,0.0,0.0,56.0,51.0,313430.0,1603216150.25
10306947.0,3.75,12.4,0.621,0.406,16.0,74.0,1.0,0.0,0.0,56.0,51.0,313531.0,1603216151.25
10307946.0,3.75,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,313632.0,1603216152.25
10308945.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,313733.0,1603216153.25
10309947.0,3.7,12.4,0.621,0.403,15.0,74.0,1.0,0.0,0.0,56.0,51.0,313834.0,1603216154.25
10310946.0,3.76,12.4,0.621,0.397,16.0,74.0,1.0,0.0,0.0,56.0,51.0,313935.0,1603216155.25
10311946.0,3.75,12.4,0.621,0.403,15.0,74.0,1.0,0.0,0.0,56.0,51.0,314036.0,1603216156.25
10312945.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,314137.0,1603216157.25
10313947.0,3.75,12.4,0.621,0.406,17.0,74.0,1.0,0.0,0.0,56.0,51.0,314238.0,1603216158.25
10314946.0,3.75,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,314339.0,1603216159.25
10315945.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,314440.0,1603216160.25
10316945.0,3.75,12.4,0.621,0.406,13.0,74.0,1.0,0.0,0.0,56.0,51.0,314541.0,1603216161.25
10317946.0,3.76,12.4,0.621,0.406,14.0,73.0,2.0,0.0,0.0,56.0,51.0,314642.0,1603216162.25
10318946.0,3.76,12.4,0.621,0.403,15.0,74.0,1.0,0.0,0.0,56.0,51.0,314743.0,1603216163.25
10319945.0,3.76,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,314844.0,1603216164.25
10320947.0,3.76,12.4,0.621,0.406,17.0,74.0,1.0,0.0,0.0,56.0,51.0,314945.0,1603216165.25
10321946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,315046.0,1603216166.25
10322946.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,315147.0,1603216167.25
10323945.0,3.76,12.4,0.621,0.406,12.0,74.0,1.0,0.0,0.0,56.0,51.0,315248.0,1603216168.25
10324946.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,315349.0,1603216169.25
10325946.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,315450.0,1603216170.25
10326945.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,315551.0,1603216171.25
10327945.0,3.75,12.4,0.621,0.409,15.0,74.0,1.0,0.0,0.0,56.0,51.0,315652.0,1603216172.25
10328946.0,3.75,12.4,0.624,0.424,14.0,74.0,1.0,0.0,0.0,56.0,51.0,315753.0,1603216173.25
10329946.0,3.76,12.4,0.618,0.406,17.0,74.0,1.0,0.0,0.0,56.0,51.0,315854.0,1603216174.25
10330945.0,3.75,12.4,0.621,0.406,16.0,74.0,1.0,0.0,0.0,56.0,51.0,315955.0,1603216175.25
10331947.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,316056.0,1603216176.25
10332946.0,3.76,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,316157.0,1603216177.25
10333945.0,3.76,12.4,0.618,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,316258.0,1603216178.25
10334945.0,3.76,12.4,0.621,0.403,13.0,73.0,2.0,0.0,0.0,56.0,51.0,316359.0,1603216179.25
10335946.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,316460.0,1603216180.25
10336946.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,316561.0,1603216181.25
10337945.0,3.76,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,316662.0,1603216182.25
10338947.0,3.75,12.4,0.621,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,316763.0,1603216183.25
10339946.0,3.76,12.4,0.624,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,316864.0,1603216184.25
10340945.0,3.76,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,316965.0,1603216185.25
10341945.0,3.76,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,317066.0,1603216186.25
10342946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,317167.0,1603216187.25
10343946.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,317268.0,1603216188.25
10344945.0,3.76,12.4,0.621,0.406,12.0,74.0,1.0,0.0,0.0,56.0,51.0,317369.0,1603216189.25
10345947.0,3.76,12.4,0.621,0.409,15.0,74.0,1.0,0.0,0.0,56.0,51.0,317470.0,1603216190.25
10346946.0,3.76,12.4,0.621,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,317571.0,1603216191.25
10347945.0,3.76,12.4,0.624,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,317672.0,1603216192.25
10348945.0,3.75,12.4,0.621,0.406,17.0,74.0,1.0,0.0,0.0,56.0,51.0,317773.0,1603216193.25
10349946.0,3.76,12.4,0.624,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,317874.0,1603216194.25
10350946.0,3.76,12.4,0.624,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,317975.0,1603216195.25
10351945.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,318076.0,1603216196.25
10352945.0,3.76,12.4,0.621,0.409,15.0,74.0,1.0,0.0,0.0,56.0,51.0,318177.0,1603216197.25
10353946.0,3.75,12.4,0.624,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,318278.0,1603216198.25
10354946.0,3.75,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,318379.0,1603216199.25
10355945.0,3.75,12.4,0.618,0.412,12.0,74.0,1.0,0.0,0.0,56.0,51.0,318480.0,1603216200.25
10356946.0,3.75,12.4,0.624,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,318581.0,1603216201.25
10357946.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,318682.0,1603216202.25
10358945.0,3.76,12.4,0.621,0.403,14.0,74.0,1.0,0.0,0.0,56.0,51.0,318783.0,1603216203.25
10359945.0,3.75,12.4,0.621,0.406,15.0,74.0,1.0,0.0,0.0,56.0,51.0,318884.0,1603216204.25
10360946.0,3.75,12.4,0.621,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,318985.0,1603216205.25
10361946.0,3.75,12.4,0.621,0.406,14.0,74.0,1.0,0.0,0.0,56.0,51.0,319086.0,1603216206.25
10362945.0,3.75,12.4,0.621,0.406,12.0,74.0,1.0,0.0,0.0,56.0,51.0,319187.0,1603216207.25
10363947.0,3.76,12.4,0.621,0.409,14.0,74.0,1.0,0.0,0.0,56.0,51.0,319288.0,1603216208.25
